Order Date,Product,Category,Quantity,Unit Price,Revenue
2025-01-01,Wool Sweater,Clothing,9,58.39,525.51
2025-01-06,Recliner,Furniture,2,336.05,672.1
2025-01-13,Denim Jeans,Clothing,4,52.24,208.96
2025-01-15,Casual Dress,Clothing,5,35.76,178.8
2025-01-21,Dining Table,Furniture,4,424.72,1698.88
2025-01-23,Winter Jacket,Clothing,9,125.67,1131.03
2025-02-01,Denim Jeans,Clothing,6,42.07,252.42
2025-02-04,Smartphone Case,Electronics,4,16.09,64.36
2025-02-10,Webcam HD,Electronics,11,42.07,462.77
2025-02-11,Smartphone Case,Electronics,10,13.02,130.2
2025-02-16,Leather Belt,Clothing,2,30.11,60.22
2025-02-17,Cotton T-Shirt,Clothing,4,19.25,77.0
2025-02-19,Bluetooth Headphones,Electronics,6,69.53,417.18
2025-02-22,USB-C Charger,Electronics,9,20.14,181.26
2025-03-10,Denim Jeans,Clothing,2,37.92,75.84
2025-03-15,Filing Cabinet,Furniture,4,68.53,274.12
2025-03-17,Baseball Cap,Clothing,1,16.44,16.44
2025-03-21,Leather Belt,Clothing,4,18.79,75.16
2025-03-21,Baseball Cap,Clothing,10,14.08,140.8
2025-03-21,Bar Stool,Furniture,4,67.02,268.08
2025-03-23,Office Chair,Furniture,6,163.77,982.62
2025-03-24,Portable Speaker,Electronics,9,49.26,443.34
2025-03-24,Smartwatch,Electronics,9,168.94,1520.46
2025-03-25,Running Shoes,Clothing,5,67.73,338.65
2025-04-04,Webcam HD,Electronics,4,31.13,124.52
2025-04-09,Laptop Stand,Electronics,8,25.7,205.6
2025-04-13,Coffee Table,Furniture,8,135.32,1082.56
2025-04-15,Portable Speaker,Electronics,5,55.93,279.65
2025-04-20,Power Bank 10000mAh,Electronics,3,25.11,75.33
2025-04-21,Bookshelf,Furniture,6,126.99,761.94
2025-04-23,Baseball Cap,Clothing,1,20.26,20.26
2025-04-26,Laptop Stand,Electronics,1,21.91,21.91
2025-04-27,Sofa,Furniture,11,389.16,4280.76
2025-04-28,Baseball Cap,Clothing,1,18.82,18.82
2025-04-28,Wireless Mouse,Electronics,1,18.01,18.01
2025-05-03,Sofa,Furniture,10,323.16,3231.6
2025-05-03,Casual Dress,Clothing,3,43.27,129.81
2025-05-05,Leather Belt,Clothing,7,30.68,214.76
2025-05-06,Standing Desk,Furniture,3,223.9,671.7
2025-05-09,Leather Belt,Clothing,1,33.1,33.1
2025-05-16,Smartphone Case,Electronics,10,8.45,84.5
2025-05-17,Baseball Cap,Clothing,6,21.52,129.12
2025-05-22,Webcam HD,Electronics,6,21.75,130.5
2025-05-23,Webcam HD,Electronics,6,38.13,228.78
2025-05-27,Filing Cabinet,Furniture,12,79.6,955.2
2025-05-29,Laptop Stand,Electronics,4,49.55,198.2
2025-06-05,Cotton T-Shirt,Clothing,7,12.86,90.02
2025-06-10,Dining Table,Furniture,9,309.09,2781.81
2025-06-10,Bar Stool,Furniture,2,56.53,113.06
